Question Text (English),Option A,Option B,Option C,Option D,,Explanation (English),DOPD Operation Weight (%),DOPD Discipline Weight (%),DOPD Professionalism Weight (%),Malay Question Text,Malay Option A,Malay Option B,Malay Option C,Malay Option D,Malay Explanation,Batch
"While moving on a wet, uneven surface, you notice abnormal vibration and reduced vehicle response.",Maintain steady movement to avoid wheel slip,Stop and assess before continuing,Adjust speed slightly and continue through the area,Complete the movement and report the issue later,B,Pause to assess mechanical signals under challenging surface conditions.,0.75,0.25,,"Semasa bergerak di permukaan basah dan tidak rata, anda merasakan getaran tidak normal dan tindak balas kenderaan berkurang.",Kekalkan pergerakan stabil untuk elakkan gelinciran tayar,Berhenti dan periksa sebelum meneruskan,Laraskan kelajuan sedikit dan teruskan melalui kawasan itu,Selesaikan pergerakan dan laporkan masalah kemudian,Berhenti dan periksa isu mekanikal dalam keadaan permukaan yang mencabar.,8
"While parked inside a site, an emergency alarm sounds and evacuation routes must be kept clear.",Remain in the cabin and wait for instructions,Secure cabin items and clear the evacuation path immediately,Leave the vehicle as it is and exit quickly,Move the vehicle slightly to create more space,B,Secure loose items and clear evacuation routes immediately.,0.25,0.5,0.25,"Semasa parkir di dalam tapak, penggera kecemasan berbunyi dan laluan keluar mesti dikekalkan bebas halangan.",Kekal di dalam kabin dan tunggu arahan,Pastikan barang dalam kabin tidak bergerak dan kosongkan laluan keluar segera,Tinggalkan kenderaan seperti sedia ada dan keluar dengan cepat,Gerakkan kenderaan sedikit untuk beri lebih ruang,Pastikan barang tidak bergerak dan kekalkan laluan keluar jelas dengan segera.,8
"During a delivery, a customer follows cultural practices unfamiliar to you.",Acknowledge the practice and respond respectfully,Continue the task without engaging further,Question the practice to clarify expectations,Follow your usual approach and proceed,A,Respecting cultural differences helps maintain positive and professional interactions.,,,1,"Semasa membuat penghantaran, seorang pelanggan mengikut amalan budaya yang tidak biasa bagi anda.",Hormati amalan tersebut dan beri respons dengan sesuai,Teruskan tugas tanpa melibatkan diri,Persoalkan amalan itu untuk jelaskan jangkaan,Ikut cara biasa anda dan teruskan,Menghormati perbezaan budaya membantu kekalkan interaksi yang profesional dan baik.,8
"During unloading, site staff suggest recording different details on the delivery documents to save time.",Record the actual details accurately,Adjust the details slightly so unloading can finish smoothly,Note the change later to keep the paperwork acceptable,Leave the documents for someone else to complete,A,Recording accurate details supports accountability and prevents issues later.,,0.25,0.75,"Semasa proses memunggah, kakitangan tapak mencadangkan supaya butiran pada dokumen penghantaran direkod berbeza untuk jimat masa.",Catat butiran yang sebenarnya dengan tepat,Ubah sedikit butiran supaya proses memunggah selesai dengan lancar,Catat perubahan kemudian supaya dokumen masih kelihatan boleh diterima,Biarkan dokumen untuk disiapkan oleh orang lain,Merekod butiran dengan tepat membantu pastikan tanggungjawab jelas dan elakkan masalah pada masa akan datang.,8
"During a delivery, a cultural misunderstanding causes tension between you and the customer.",Acknowledge the concern respectfully and respond calmly,Explain your intentions in detail to clear the misunderstanding,Step back from the discussion to prevent further discomfort,Defend your position to avoid being seen as disrespectful,A,Respectful acknowledgement and calm response help ease tension caused by misunderstandings.,,,1,"Semasa penghantaran, berlaku salah faham berkaitan budaya yang menyebabkan ketegangan antara anda dan pelanggan.",Ambil maklum dengan hormat dan beri respons dengan tenang,Terangkan niat anda dengan terperinci untuk jelaskan salah faham,Undur diri daripada perbincangan untuk elak keadaan menjadi lebih tidak selesa,Pertahankan pendirian supaya tidak dianggap tidak hormat,Pengakuan yang hormat dan respons yang tenang membantu redakan ketegangan akibat salah faham.,8
You are holding your lane in slow traffic when another driver begins tailgating and sounding the horn.,Maintain your lane position and avoid reacting to the behaviour,Shift position slightly to signal cooperation and reduce tension,Change lanes quickly to get away from the situation,Gesture briefly to show you have noticed the other driver,A,Holding lane discipline and not reacting helps prevent aggressive situations from escalating.,0.5,,0.5,Anda mengekalkan lorong dalam trafik perlahan apabila pemandu di belakang mula mengekori rapat dan membunyikan hon.,Kekalkan kedudukan lorong dan elakkan memberi respons,Ubah sedikit kedudukan untuk menunjukkan kerjasama dan mengurangkan ketegangan,Tukar lorong dengan cepat untuk menjauhkan diri daripada situasi,Buat isyarat ringkas untuk menunjukkan anda sedar akan kehadirannya,Mengekalkan disiplin lorong dan tidak bertindak balas membantu mengelakkan situasi agresif daripada menjadi lebih tegang.,8
"You spot debris ahead and slow early, while vehicles behind continue approaching at speed.",Ease off smoothly and press brakes smoothly to warn others,Maintain speed to avoid confusing traffic behind,Brake later so following vehicles react together,Slow suddenly once the debris is closer,A,Early slowing with clear signals helps other drivers adjust safely to hazards ahead.,0.5,0.25,0.25,"Anda terlihat objek di atas jalan di hadapan lalu memperlahankan kenderaan lebih awal, sementara kenderaan di belakang masih menghampiri dengan laju.",Perlahankan kenderaan secara beransur supaya lampu brek memberi amaran kepada kenderaan belakang,Kekalkan kelajuan supaya tidak mengelirukan trafik di belakang,Brek kemudian supaya kenderaan belakang bertindak serentak,Perlahankan kenderaan secara mengejut apabila objek semakin hampir,Memperlahankan kenderaan lebih awal membantu memberi amaran awal kepada pemandu lain dan membolehkan mereka menyesuaikan diri dengan selamat.,8
You have been on duty for 10 hours and are asked to continue working.,Continue if the remaining task is short.,Stop working after reaching the 10-hour limit.,Work another hour and rest later.,Continue if traffic conditions are light.,B,Adhere to the maximum daily working hour limit.,0.5,0.5,,Anda telah bertugas selama 10 jam dan diminta untuk terus bekerja.,Teruskan jika baki tugasan adalah singkat.,Hentikan kerja selepas mencapai had 10 jam.,Bekerja satu jam lagi dan berehat kemudian.,Teruskan jika keadaan trafik ringan.,Patuhi had maksimum waktu kerja harian.,8
"While driving, you notice the sun shade and stickers on the windscreen reduce your side visibility.",Continue driving carefully despite reduced visibility.,Stop at a safe location and remove or adjust the obstruction.,Reduce speed and rely more on mirrors.,Adjust your lane position to compensate for the blind area.,B,Ensure full visibility before continuing to drive safely.,1,0,0,"Semasa memandu, anda mendapati pelindung matahari dan pelekat pada cermin hadapan mengurangkan penglihatan sisi.",Terus memandu dengan berhati-hati walaupun penglihatan terhad.,Berhenti di lokasi yang selamat dan tanggalkan/laraskan halangan tersebut.,Kurangkan kelajuan dan lebih bergantung pada cermin sisi.,Laraskan kedudukan lorong untuk mengimbangi kawasan yang terhalang.,Pastikan penglihatan jelas sepenuhnya sebelum meneruskan pemanduan.,8
Your goods vehicle is experiencing failure on a highway and assistance has arrived.,Leave the vehicle where it stopped since help is present.,Move the vehicle to a safer location when possible.,Wait until traffic reduces before relocating.,Relocate only if other drivers signal it is safe.,B,Relocate the vehicle to minimise continued traffic exposure.,0.5,0,0.5,Kenderaan barangan anda mengalami kerosakan di lebuh raya dan bantuan telah tiba.,Biarkan kenderaan di tempat ia berhenti kerana bantuan telah tiba.,Alihkan kenderaan ke lokasi yang lebih selamat jika keadaan mengizinkan.,Tunggu sehingga trafik berkurangan sebelum mengalihkan kenderaan.,Alihkan hanya jika pemandu lain memberi isyarat selamat.,Alihkan kenderaan ke lokasi lebih selamat untuk mengurangkan pendedahan berterusan kepada trafik.,8
You find that the first aid kit is incomplete.,Continue if no emergency is expected.,Replenish the first aid kit before operating.,Rely on site facilities if needed.,Inform later after completing the trip.,B,Maintain a complete and ready first aid kit at all times.,0,1,0,Anda mendapati kit pertolongan cemas tidak lengkap.,Teruskan perjalanan jika tiada kecemasan dijangka berlaku.,Lengkapkan kit pertolongan cemas sebelum mengendalikan kenderaan.,Bergantung kepada kemudahan di lokasi jika perlu.,Maklumkan kemudian selepas menamatkan perjalanan.,Pastikan kit pertolongan cemas sentiasa lengkap dan sedia digunakan pada setiap masa.,8
"Before departure, you conduct a safety inspection.",Focus only on tyres since they wear faster.,"Check brakes, tyres, steering, and vehicle lights.",Inspect brakes only if carrying heavy cargo.,Check lights after beginning the journey.,B,Inspect all critical control and lighting systems before driving.,0.5,0,0.5,"Sebelum memulakan perjalanan, anda menjalankan pemeriksaan keselamatan.",Periksa tayar sahaja kerana ia lebih cepat haus.,"Periksa brek, tayar, stereng dan lampu kenderaan.",Periksa brek hanya jika membawa muatan berat.,Periksa lampu selepas memulakan perjalanan.,Periksa semua sistem kawalan dan lampu sebelum memandu.,8
Your driving document will expire in three weeks.,Renew it two weeks before expiry.,Renew it on your next off day.,Renew it when you have free time.,Renew it during the expiry week.,A,Renew required documents at least two weeks before expiry.,0,1,0,Dokumen pemanduan anda akan tamat tempoh dalam tiga minggu.,Perbaharui dua minggu sebelum tamat tempoh.,Perbaharui pada hari cuti anda yang seterusnya.,Perbaharui apabila ada masa lapang.,Perbaharui pada minggu tamat tempoh.,Perbaharui dokumen yang diperlukan sekurang-kurangnya dua minggu sebelum tamat tempoh.,8
"After completing your assignment, you are returning the vehicle.",Park the truck at any available space nearby.,Park the truck at the company's designated area.,Leave the truck where it is most convenient.,Park outside temporarily and inform later.,B,Park company vehicles only at approved locations.,0.5,0,0.5,"Selepas menamatkan tugasan, anda hendak memulangkan kenderaan.",Parkir lori di mana-mana ruang yang tersedia berhampiran.,Parkir lori di kawasan yang ditetapkan oleh syarikat.,Tinggalkan lori di tempat yang paling mudah.,Parkir di luar buat sementara dan maklumkan kemudian.,Parkir kenderaan syarikat hanya di lokasi yang diluluskan.,8
"You review the container number, type, and size against the gate pass and delivery note.",Proceed if the container looks correct.,Confirm all container details match the documents.,Check only the container number.,Deliver first and update discrepancies later.,B,Ensure all container details match the official documents.,0.5,0,0.5,"Anda menyemak nombor kontena, jenis dan saiz dengan membandingkannya kepada gate pass dan nota penghantaran.",Teruskan jika kontena kelihatan betul.,Pastikan semua butiran kontena sepadan dengan dokumen.,Periksa nombor kontena sahaja.,Hantar dahulu dan kemas kini perbezaan kemudian.,Pastikan semua butiran kontena sepadan dengan dokumen rasmi sebelum berlepas.,8
You collect a reefer container and observe a worn power cable.,Record it internally and inform operations.,Secure the cable and continue.,Inform operations after delivery.,Proceed if cooling is active.,A,Document and report equipment defects before departure.,0.5,0,0.5,Anda mengambil kontena berpendingin dari premis pelanggan dan mendapati terdapat kerosakan pada bahagian luar.,Catat dalam rekod dalaman dan maklumkan bahagian operasi.,Amankan kabel dan teruskan perjalanan.,Maklumkan kepada bahagian operasi selepas penghantaran selesai.,Teruskan perjalanan jika sistem penyejukan masih berfungsi.,Rekodkan dan laporkan kerosakan kontena sebelum meneruskan pergerakan.,8
You arrive at the customer site to position the container.,Position it at the nearest available space.,Obtain customer approval before positioning.,Follow previous delivery practice.,Place it where it is easiest to exit.,B,Obtain customer approval before positioning the container.,0,0,1,Anda tiba di tapak pelanggan untuk meletakkan kontena.,Letakkan di ruang terdekat yang tersedia.,Dapatkan kelulusan pelanggan sebelum meletakkan kontena.,Ikut amalan penghantaran sebelum ini.,Letakkan di tempat yang paling mudah untuk keluar.,Dapatkan kelulusan pelanggan sebelum meletakkan kontena.,8
A roadside altercation with a member of the public escalates and feels unsafe.,Handle the matter personally.,Go to the nearest police station and report.,Ignore it and continue driving.,Confront the individual to settle it.,B,Seek police assistance when safety is threatened.,0,0,1,Berlaku pertelingkahan di tepi jalan dengan orang awam dan keadaan menjadi tidak selamat.,Uruskan sendiri situasi tersebut.,Pergi ke balai polis terdekat dan buat laporan.,Abaikan dan teruskan pemanduan.,Bersemuka untuk menyelesaikan isu.,Dapatkan bantuan polis apabila keselamatan terancam.,8
"While stopped due to a fire on the trailer, flames are visible near the rear section.",Separate the prime mover from the trailer if safe.,Keep the unit connected to maintain stability.,Move the vehicle slightly before taking action.,Wait to confirm the exact fire source.,A,Separate units when safe to reduce fire spread.,0.5,0,0.5,"Semasa berhenti akibat kebakaran pada treler, api kelihatan di bahagian belakang.",Pisahkan kepala lori daripada treler jika keadaan selamat.,Kekalkan sambungan untuk mengekalkan kestabilan.,Gerakkan kenderaan sedikit sebelum mengambil tindakan.,Tunggu untuk mengesahkan punca kebakaran.,Pisahkan unit jika keadaan selamat untuk mengurangkan risiko api merebak.,8
"After a collision, operations asks whether the vehicle can be moved.",Inform whether the vehicle can be moved or is blocking traffic.,Move the vehicle without informing anyone.,Leave it as it is and end the call.,Decide later after completing documentation.,A,Inform operations about vehicle condition and obstruction status.,0.5,0,0.5,"Selepas pelanggaran, bahagian operasi bertanya sama ada kenderaan boleh dialihkan.",Maklumkan sama ada kenderaan boleh dialihkan atau sedang menghalang trafik.,Alihkan kenderaan tanpa memaklumkan kepada sesiapa.,Biarkan sahaja dan tamatkan panggilan.,Buat keputusan kemudian selepas melengkapkan dokumen.,Maklumkan keadaan kenderaan dan sama ada ia menghalang trafik.,8
